Timestamp,Team Name,Team ID,Participant ID,Round ID,Assigned Item,Response
17/5/2025, 10:45:09 am,1,1,G-hlKvu0c2lDEzp1AAAJ,1,C,false
17/5/2025, 10:45:09 am,1,1,OhY-81PM3XMahxuZAAAN,1,A,true
17/5/2025, 10:48:45 am,ti7ti7t7i,2,HYRBjJrkcEmFX73GAAAL,3,A,false
17/5/2025, 10:48:45 am,ti7ti7t7i,2,v9glem5tpGO4n6Z5AAAM,3,D,true
17/5/2025, 10:48:46 am,ti7ti7t7i,2,v9glem5tpGO4n6Z5AAAM,4,D,false
17/5/2025, 10:49:13 am,ti7ti7t7i,2,HYRBjJrkcEmFX73GAAAL,4,B,true
17/5/2025, 10:49:13 am,ti7ti7t7i,2,v9glem5tpGO4n6Z5AAAM,5,D,true
17/5/2025, 10:49:14 am,ti7ti7t7i,2,HYRBjJrkcEmFX73GAAAL,5,B,false
17/5/2025, 10:49:14 am,ti7ti7t7i,2,HYRBjJrkcEmFX73GAAAL,6,D,true
17/5/2025, 10:50:52 am,8979788,3,vhqvhgY45NXhPANEAAAJ,7,D,true
17/5/2025, 10:50:53 am,8979788,3,3dYRYHwjr6TAErHZAAAI,7,C,false
17/5/2025, 10:50:53 am,8979788,3,vhqvhgY45NXhPANEAAAJ,8,C,false
17/5/2025, 10:50:54 am,8979788,3,3dYRYHwjr6TAErHZAAAI,8,C,true
17/5/2025, 10:50:54 am,8979788,3,3dYRYHwjr6TAErHZAAAI,9,C,false
17/5/2025, 10:50:54 am,8979788,3,vhqvhgY45NXhPANEAAAJ,9,C,false
17/5/2025, 10:50:55 am,8979788,3,vhqvhgY45NXhPANEAAAJ,10,D,true
17/5/2025, 10:50:55 am,8979788,3,3dYRYHwjr6TAErHZAAAI,10,D,true
17/5/2025, 10:50:55 am,8979788,3,vhqvhgY45NXhPANEAAAJ,11,B,false
17/5/2025, 10:50:56 am,8979788,3,3dYRYHwjr6TAErHZAAAI,11,A,false
17/5/2025, 10:50:57 am,8979788,3,vhqvhgY45NXhPANEAAAJ,12,D,false
17/5/2025, 10:50:57 am,8979788,3,3dYRYHwjr6TAErHZAAAI,12,A,true
17/5/2025, 10:50:57 am,8979788,3,3dYRYHwjr6TAErHZAAAI,13,B,false
17/5/2025, 10:50:58 am,8979788,3,vhqvhgY45NXhPANEAAAJ,13,A,true
17/5/2025, 10:50:59 am,8979788,3,3dYRYHwjr6TAErHZAAAI,14,D,true
17/5/2025, 10:50:59 am,8979788,3,vhqvhgY45NXhPANEAAAJ,14,C,true
17/5/2025, 10:51:04 am,8979788,3,vhqvhgY45NXhPANEAAAJ,15,A,false
17/5/2025, 10:51:05 am,8979788,3,3dYRYHwjr6TAErHZAAAI,15,B,false
17/5/2025, 10:51:05 am,8979788,3,vhqvhgY45NXhPANEAAAJ,16,D,true
17/5/2025, 10:51:06 am,8979788,3,3dYRYHwjr6TAErHZAAAI,16,D,true
17/5/2025, 10:51:06 am,8979788,3,3dYRYHwjr6TAErHZAAAI,17,D,false
17/5/2025, 10:51:10 am,8979788,3,vhqvhgY45NXhPANEAAAJ,17,B,true
17/5/2025, 10:51:11 am,8979788,3,vhqvhgY45NXhPANEAAAJ,18,B,true
17/5/2025, 10:51:11 am,8979788,3,3dYRYHwjr6TAErHZAAAI,18,A,true
17/5/2025, 10:51:11 am,8979788,3,3dYRYHwjr6TAErHZAAAI,19,C,true
17/5/2025, 10:51:11 am,8979788,3,vhqvhgY45NXhPANEAAAJ,19,D,true
17/5/2025, 10:51:11 am,8979788,3,3dYRYHwjr6TAErHZAAAI,20,A,true
17/5/2025, 10:51:11 am,8979788,3,vhqvhgY45NXhPANEAAAJ,20,D,true
17/5/2025, 10:51:11 am,8979788,3,3dYRYHwjr6TAErHZAAAI,21,D,true
17/5/2025, 10:51:11 am,8979788,3,vhqvhgY45NXhPANEAAAJ,21,B,true
17/5/2025, 10:51:12 am,8979788,3,3dYRYHwjr6TAErHZAAAI,22,A,true
17/5/2025, 10:51:12 am,8979788,3,vhqvhgY45NXhPANEAAAJ,22,C,true
17/5/2025, 10:51:12 am,8979788,3,vhqvhgY45NXhPANEAAAJ,23,B,true
17/5/2025, 10:53:00 am,8888,4,E4LyGp2Wp7D4Cql0AAAJ,24,C,false
17/5/2025, 10:53:01 am,8888,4,JvecGiU0mJXh2LP2AAAI,24,B,false
17/5/2025, 10:53:02 am,8888,4,E4LyGp2Wp7D4Cql0AAAJ,25,A,false
17/5/2025, 10:53:02 am,8888,4,JvecGiU0mJXh2LP2AAAI,25,A,true
17/5/2025, 10:53:03 am,8888,4,JvecGiU0mJXh2LP2AAAI,26,D,false
17/5/2025, 10:53:03 am,8888,4,E4LyGp2Wp7D4Cql0AAAJ,26,D,true
17/5/2025, 10:53:04 am,8888,4,E4LyGp2Wp7D4Cql0AAAJ,27,C,false
17/5/2025, 10:53:04 am,8888,4,JvecGiU0mJXh2LP2AAAI,27,C,true
17/5/2025, 10:53:05 am,8888,4,E4LyGp2Wp7D4Cql0AAAJ,28,D,false
17/5/2025, 10:53:05 am,8888,4,JvecGiU0mJXh2LP2AAAI,28,A,false
17/5/2025, 10:57:02 am,456,6,WbV7jxX7vaa41QSvAAAJ,31,A,true
17/5/2025, 10:57:03 am,456,6,BT2ou1j-QjUH_JPtAAAI,31,D,false
17/5/2025, 10:57:03 am,456,6,WbV7jxX7vaa41QSvAAAJ,32,B,false
17/5/2025, 10:57:04 am,456,6,BT2ou1j-QjUH_JPtAAAI,32,C,false
17/5/2025, 10:57:36 am,456,6,WbV7jxX7vaa41QSvAAAJ,33,C,true
17/5/2025, 10:57:37 am,456,6,BT2ou1j-QjUH_JPtAAAI,33,D,false
17/5/2025, 10:57:37 am,456,6,WbV7jxX7vaa41QSvAAAJ,34,C,false
17/5/2025, 11:01:06 am,111,7,j9-ysfAOeP69iNDWAAAF,35,B,false
17/5/2025, 11:01:06 am,111,7,oy9fhN31ocLsxCwQAAAJ,35,B,true
17/5/2025, 11:01:07 am,111,7,oy9fhN31ocLsxCwQAAAJ,36,B,false
17/5/2025, 11:01:07 am,111,7,j9-ysfAOeP69iNDWAAAF,36,B,false
17/5/2025, 11:01:07 am,111,7,j9-ysfAOeP69iNDWAAAF,37,D,true
17/5/2025, 11:01:07 am,111,7,oy9fhN31ocLsxCwQAAAJ,37,D,false
17/5/2025, 11:01:08 am,111,7,oy9fhN31ocLsxCwQAAAJ,38,B,true
17/5/2025, 11:05:20 am,111_8,8,uKqhMIqGFzFvf7jvAAAN,39,A,true
17/5/2025, 11:05:20 am,111_8,8,gi4CAOt-H_wbnfVSAAAL,39,B,false
17/5/2025, 11:05:21 am,111_8,8,uKqhMIqGFzFvf7jvAAAN,40,D,false
17/5/2025, 11:05:21 am,111_8,8,gi4CAOt-H_wbnfVSAAAL,40,A,true
17/5/2025, 11:05:21 am,111_8,8,gi4CAOt-H_wbnfVSAAAL,41,D,false
17/5/2025, 11:05:22 am,111_8,8,uKqhMIqGFzFvf7jvAAAN,41,A,false
17/5/2025, 11:05:22 am,111_8,8,gi4CAOt-H_wbnfVSAAAL,42,B,true
17/5/2025, 11:05:23 am,111_8,8,uKqhMIqGFzFvf7jvAAAN,42,A,true
17/5/2025, 11:05:23 am,111_8,8,uKqhMIqGFzFvf7jvAAAN,43,C,true
17/5/2025, 11:05:23 am,111_8,8,gi4CAOt-H_wbnfVSAAAL,43,B,true
17/5/2025, 11:05:23 am,111_8,8,gi4CAOt-H_wbnfVSAAAL,44,B,false
17/5/2025, 11:05:24 am,111_8,8,uKqhMIqGFzFvf7jvAAAN,44,C,false
17/5/2025, 11:05:24 am,111_8,8,uKqhMIqGFzFvf7jvAAAN,45,C,true
17/5/2025, 11:05:25 am,111_8,8,gi4CAOt-H_wbnfVSAAAL,45,B,true
17/5/2025, 11:05:25 am,111_8,8,uKqhMIqGFzFvf7jvAAAN,46,A,true
17/5/2025, 11:05:25 am,111_8,8,gi4CAOt-H_wbnfVSAAAL,46,B,true
17/5/2025, 11:05:25 am,111_8,8,gi4CAOt-H_wbnfVSAAAL,47,B,true
17/5/2025, 11:05:25 am,111_8,8,uKqhMIqGFzFvf7jvAAAN,47,D,true
17/5/2025, 11:05:25 am,111_8,8,uKqhMIqGFzFvf7jvAAAN,48,B,true
17/5/2025, 11:05:26 am,111_8,8,gi4CAOt-H_wbnfVSAAAL,48,D,true
17/5/2025, 11:05:26 am,111_8,8,uKqhMIqGFzFvf7jvAAAN,49,A,true
17/5/2025, 11:05:26 am,111_8,8,gi4CAOt-H_wbnfVSAAAL,49,A,true
17/5/2025, 11:05:26 am,111_8,8,uKqhMIqGFzFvf7jvAAAN,50,C,true
17/5/2025, 11:05:26 am,111_8,8,gi4CAOt-H_wbnfVSAAAL,50,C,true
17/5/2025, 11:05:27 am,111_8,8,uKqhMIqGFzFvf7jvAAAN,51,A,false
17/5/2025, 11:05:27 am,111_8,8,gi4CAOt-H_wbnfVSAAAL,51,C,false
17/5/2025, 11:05:27 am,111_8,8,uKqhMIqGFzFvf7jvAAAN,52,D,true
17/5/2025, 11:05:27 am,111_8,8,gi4CAOt-H_wbnfVSAAAL,52,B,true
17/5/2025, 11:05:28 am,111_8,8,uKqhMIqGFzFvf7jvAAAN,53,C,true
17/5/2025, 11:05:28 am,111_8,8,gi4CAOt-H_wbnfVSAAAL,53,D,false
17/5/2025, 11:05:28 am,111_8,8,gi4CAOt-H_wbnfVSAAAL,54,D,true
17/5/2025, 11:05:28 am,111_8,8,uKqhMIqGFzFvf7jvAAAN,54,A,true
17/5/2025, 11:05:28 am,111_8,8,gi4CAOt-H_wbnfVSAAAL,55,D,false
17/5/2025, 11:05:28 am,111_8,8,uKqhMIqGFzFvf7jvAAAN,55,A,false
17/5/2025, 11:05:29 am,111_8,8,gi4CAOt-H_wbnfVSAAAL,56,D,false
17/5/2025, 11:05:30 am,111_8,8,uKqhMIqGFzFvf7jvAAAN,56,C,false
17/5/2025, 11:08:06 am,1999,9,CSXitlc1UddRLW7sAAAP,58,A,false
17/5/2025, 11:08:06 am,1999,9,QPV5JjL2MmA8keH_AAAO,58,A,true
17/5/2025, 11:08:06 am,1999,9,QPV5JjL2MmA8keH_AAAO,59,A,false
17/5/2025, 11:08:06 am,1999,9,CSXitlc1UddRLW7sAAAP,59,D,false
17/5/2025, 11:08:07 am,1999,9,QPV5JjL2MmA8keH_AAAO,60,A,false
